30,137,49,349
35,153,59,342
36,135,47,331
24,141,47,342
18,146,48,339
24,126,48,344
23,122,49,344
29,119,51,344
29,137,50,344
32,106,55,335
35,130,58,344
25,122,49,344
31,146,48,344
37,121,55,349
39,163,61,353
54,137,59,327
37,143,62,347
33,147,57,348
33,146,51,341
31,165,45,345
28,129,48,347
30,130,49,344
23,121,50,341
25,106,48,344
31,140,56,342
30,127,59,337
25,123,53,348
29,114,54,346
29,119,56,348
15,161,47,354
41,197,58,347
29,119,50,342
29,133,49,339
28,122,58,340
17,128,49,332
6,166,49,347
33,138,51,345
4,106,47,347
20,147,46,335
29,146,47,344
30,138,48,335
31,154,52,336
39,128,61,337
29,132,63,333
35,156,44,339
24,148,61,346
24,151,58,336
29,124,54,332
39,175,57,347
42,126,61,338
32,174,52,344
23,143,57,347
42,137,52,345
43,169,63,324
27,115,53,344
28,116,71,326
52,141,49,332
39,149,39,342
5,180,53,341
17,127,54,339
46,122,51,336
43,126,55,346
31,124,46,342
37,140,46,342
30,125,50,345
39,109,52,344
25,150,44,343
30,144,49,339
32,147,59,343
34,156,58,345
42,152,54,360
78,171,59,341
30,111,48,295
27,100,51,346
32,112,66,357
33,147,49,342
27,128,40,347
23,159,46,337
29,133,54,338
32,139,55,341
31,124,60,336
22,140,55,345
16,148,51,335
44,144,60,349
15,144,51,343
32,112,50,344
50,151,48,341
52,146,57,354
7,148,46,347
32,163,57,343
28,146,48,345
32,160,54,349
31,125,46,343
24,110,54,346
28,131,52,346
41,138,52,329
28,158,52,343
11,164,69,339
31,162,48,344
8,167,46,343
4,165,48,348
25,109,49,343
28,109,46,347
13,184,53,344
41,165,44,349
31,152,48,352
39,147,52,343
10,127,56,345
33,131,53,342
13,138,54,345
34,132,58,339
22,139,62,339
28,122,49,328
38,159,45,342
37,151,50,341
31,139,52,336
28,142,52,348
38,38,104,126
7,97,46,343
24,136,42,351
32,156,32,349
38,139,61,355
32,125,57,351
33,117,51,348
38,118,33,349
35,117,56,346
25,128,60,344
27,123,64,351
41,132,66,362
30,118,45,342
31,135,61,349
33,111,56,344
63,138,53,335
27,99,42,343
53,141,66,357
28,142,35,346
31,95,38,351
25,95,42,345
26,98,41,346
25,94,41,345
34,136,64,351
31,148,52,346
33,128,59,349
29,122,59,342
60,144,69,339
67,128,75,351
29,120,51,334
34,127,61,343
32,124,54,348
31,95,58,347
33,93,47,356
32,143,62,349
37,146,54,346
30,110,26,345
31,126,39,350
28,109,58,339
23,105,60,343
31,112,56,349
36,176,60,343
30,138,57,341
29,98,50,343
30,133,58,350
35,93,66,340
29,143,50,341
31,117,43,344
38,121,64,357
28,113,51,340
33,130,59,345
33,115,49,353
26,119,56,349
42,109,44,343
42,159,63,356
28,115,44,348
28,138,44,345
64,144,58,334
28,126,61,350
26,117,42,343
32,159,51,346
31,143,54,349
33,123,51,350
30,127,52,344
29,110,60,347
28,112,43,344
30,109,53,346
28,113,56,342
32,149,48,345
35,130,58,351
27,111,50,347
30,131,55,347
36,120,56,344
29,120,54,346
27,102,55,344
28,137,60,348
63,131,50,341
31,108,55,347
26,133,53,344
27,112,52,346
28,141,48,348
43,152,79,352
31,135,56,346
35,121,50,345
33,60,51,273
30,142,45,350
32,130,52,344
47,133,58,348
32,135,57,342
30,147,58,342
44,190,67,342
42,158,65,345
38,190,60,347
37,141,65,347
47,161,62,351
32,149,51,349
32,104,53,342
28,116,46,344
37,136,66,347
32,142,51,348
30,119,49,349
40,134,44,348
25,99,50,346
38,145,55,358
37,161,40,350
29,141,26,347
33,125,52,346
31,112,48,350
12,123,47,346
34,138,40,346
27,96,52,348
36,144,54,346
74,136,65,349
75,138,77,351
36,111,56,352
33,133,57,351
31,146,52,345
38,139,56,349
35,138,47,351
38,138,45,355
32,145,50,348
33,148,65,356
32,126,59,350
32,141,26,354
37,115,49,343
34,138,34,350
31,145,39,342
56,171,82,366
29,135,49,344
32,94,72,360
29,143,57,344
30,134,64,344
31,148,76,340
40,112,57,345
33,135,66,351
31,126,44,343
61,187,49,349
39,115,63,352
62,155,86,350
27,113,52,340
31,154,48,340
36,110,70,353
55,114,78,356
37,153,55,322
81,412,85,322
79,194,89,344
36,116,54,335
50,280,47,293
67,187,57,348
88,184,44,353
35,131,57,347
39,140,72,350
38,132,64,350
33,123,60,343
39,132,54,360
25,124,66,349
34,130,57,353
27,93,54,343
27,105,40,345
34,154,59,348
34,151,51,347
30,130,42,347
40,139,50,345
29,134,47,348
29,113,48,351
32,92,57,346
36,134,58,353
33,127,61,351
41,120,56,350
37,123,58,342
27,112,57,348
32,137,61,343
34,133,43,354
30,128,59,352
31,122,60,353
33,123,62,352
31,133,55,350
35,144,53,351
39,144,66,361
28,126,64,345
32,126,62,354
32,137,52,348
32,108,62,352
27,127,44,343
33,126,60,348
33,137,50,342
56,163,59,352
40,138,51,346
7,138,40,348
31,120,60,354
27,105,53,340
43,127,67,367
38,133,48,351
35,130,60,349
33,128,65,355
27,125,40,344
84,165,63,344
31,156,32,351
27,98,43,347
30,105,37,348
36,153,44,350
27,113,51,349
42,153,75,358
28,123,54,350
41,146,71,355
55,126,64,350
43,150,63,354
33,136,65,352
30,147,44,351
27,116,50,350
28,117,58,347
27,121,51,354
40,128,69,358
41,146,71,347
39,157,66,355
27,128,49,350
32,121,52,348
30,112,53,350
31,119,55,351
29,118,57,348
30,134,56,346
26,106,48,344
31,117,58,353
55,119,67,351
33,127,54,349
27,105,60,349
29,147,54,349
36,106,64,355
20,116,52,345
33,138,56,353
26,112,52,353
31,114,52,344
30,118,55,348
37,127,62,347
66,147,63,344
34,142,61,350
36,142,57,348
48,136,60,355
33,116,53,350
28,102,53,341
37,140,74,356
33,127,49,346
31,112,57,344
35,143,53,351
34,121,61,359
33,120,58,342
29,134,64,350
31,109,66,345
32,146,54,352
31,112,56,349
86,162,62,339
27,135,55,343
27,90,51,348
28,131,55,350
32,122,52,354
27,106,62,350
27,114,53,351
27,113,61,350
27,135,42,347
80,157,68,350
27,128,58,347
39,150,65,359
31,117,56,348
31,119,49,352
26,116,59,353
30,142,57,352
31,120,56,353
31,136,60,346
47,165,72,342
33,132,58,345
31,108,50,347
30,125,54,351
28,110,51,351
33,114,59,360
35,141,64,355
31,142,39,348
30,127,54,347
27,133,35,349
33,131,60,361
27,118,52,348
30,130,54,352
27,121,56,351
29,97,58,351
